Nombre,Alias,Alias2
Todos los departamentos,aps,aps
Arte y artesanías,arts-crafts-intl-ship,arts crafts intl ship
Automotriz,automotive-intl-ship,automotive intl ship
Bebé,baby-products-intl-ship,baby products intl ship
Belleza y cuidado personal,beauty-intl-ship,beauty intl ship
Cine y TV,movies-tv-intl-ship,movies tv intl ship
Computadoras,computers-intl-ship,computers intl ship
Deportes y actividades al aire libre,sporting-intl-ship,sporting intl ship
Electrónicos,electronics-intl-ship,electronics intl ship
Equipaje,luggage-intl-ship,luggage intl ship
Herramientas y mejoramiento del hogar,tools-intl-ship,tools intl ship
Hogar y cocina,kitchen-intl-ship,kitchen intl ship
Industrial y científico,industrial-intl-ship,industrial intl ship
Insumos para mascotas,pets-intl-ship,pets intl ship
Juguetes y juegos,toys-and-games-intl-ship,toys and games intl ship
Libros,stripbooks-intl-ship,stripbooks intl ship
Moda de niñas,fashion-girls-intl-ship,fashion girls intl ship
Moda de niños,fashion-boys-intl-ship,fashion boys intl ship
Moda para Hombre,fashion-mens-intl-ship,fashion mens intl ship
Moda para Mujer,fashion-womens-intl-ship,fashion womens intl ship
Música MP3,digital-music,digital music
"Música, CD y vinilos",music-intl-ship,music intl ship
Ofertas,deals-intl-ship,deals intl ship
Prime Video,instant-video,instant video
Salud y productos para el hogar,hpc-intl-ship,hpc intl ship
Software,software-intl-ship,software intl ship
Tienda Kindle,digital-text,digital text
Videojuegos,videogames-intl-ship,videogames intl ship
